month,skill,job_count,total_jobs,demand_percentage
2026-07,CSS,7,30,23.33
2026-07,HTML,7,30,23.33
2026-07,Linux,7,30,23.33
2026-07,Tailwind CSS,7,30,23.33
2026-07,Data Visualization,6,30,20.0
2026-07,Excel,6,30,20.0
2026-07,Java,6,30,20.0
2026-07,SQL,6,30,20.0
2026-07,Docker,5,30,16.67
2026-07,GraphQL,5,30,16.67
2026-07,Pandas,5,30,16.67
2026-07,Power BI,5,30,16.67
2026-07,CI/CD,4,30,13.33
2026-07,Data Analysis,4,30,13.33
2026-07,Kubernetes,4,30,13.33
2026-07,REST API,4,30,13.33
2026-07,Spring Boot,4,30,13.33
2026-07,Node.js,3,30,10.0
2026-07,PostgreSQL,3,30,10.0
2026-07,TypeScript,3,30,10.0
2026-07,Azure,2,30,6.67
2026-07,FastAPI,2,30,6.67
2026-07,GCP,2,30,6.67
2026-07,Machine Learning,2,30,6.67
2026-07,NumPy,2,30,6.67
2026-07,PowerShell,2,30,6.67
2026-07,Terraform,2,30,6.67
2026-07,Express.js,1,30,3.33
2026-07,Jenkins,1,30,3.33
2026-07,MongoDB,1,30,3.33
2026-07,Natural Language Processing,1,30,3.33
2026-08,AWS,16,30,53.33
2026-08,Git,14,30,46.67
2026-08,Java,11,30,36.67
2026-08,PostgreSQL,9,30,30.0
2026-08,Docker,8,30,26.67
2026-08,Jenkins,8,30,26.67
2026-08,Kubernetes,8,30,26.67
2026-08,Linux,8,30,26.67
2026-08,Python,8,30,26.67
2026-08,SQL,8,30,26.67
2026-08,Spring Boot,8,30,26.67
2026-08,JavaScript,6,30,20.0
2026-08,REST API,5,30,16.67
2026-08,CI/CD,4,30,13.33
2026-08,CSS,4,30,13.33
2026-08,Data Visualization,4,30,13.33
2026-08,Excel,4,30,13.33
2026-08,HTML,4,30,13.33
2026-08,Node.js,4,30,13.33
2026-08,Pandas,4,30,13.33
2026-08,PowerShell,4,30,13.33
2026-08,React,4,30,13.33
2026-08,TypeScript,4,30,13.33
2026-08,Terraform,3,30,10.0
2026-08,Azure,2,30,6.67
2026-08,Data Analysis,2,30,6.67
2026-08,Express.js,2,30,6.67
2026-08,GCP,2,30,6.67
2026-08,MongoDB,2,30,6.67
2026-08,Power BI,2,30,6.67
2026-08,Angular,1,30,3.33
2026-08,GraphQL,1,30,3.33
2026-08,NumPy,1,30,3.33
2026-08,Tailwind CSS,1,30,3.33
2026-09,AWS,20,40,50.0
2026-09,Git,18,40,45.0
2026-09,JavaScript,16,40,40.0
2026-09,SQL,16,40,40.0
2026-09,REST API,14,40,35.0
2026-09,React,14,40,35.0
2026-09,Java,12,40,30.0
2026-09,Node.js,12,40,30.0
2026-09,Spring Boot,12,40,30.0
2026-09,PostgreSQL,11,40,27.5
2026-09,Docker,9,40,22.5
2026-09,TypeScript,9,40,22.5
2026-09,Jenkins,8,40,20.0
2026-09,Linux,7,40,17.5
2026-09,CSS,6,40,15.0
2026-09,HTML,6,40,15.0
2026-09,Kubernetes,6,40,15.0
2026-09,PowerShell,5,40,12.5
2026-09,Data Analysis,4,40,10.0
2026-09,Express.js,4,40,10.0
2026-09,Tailwind CSS,4,40,10.0
2026-09,CI/CD,3,40,7.5
2026-09,Machine Learning,3,40,7.5
2026-09,Natural Language Processing,3,40,7.5
2026-09,NumPy,3,40,7.5
2026-09,Pandas,3,40,7.5
2026-09,Python,3,40,7.5
2026-09,Angular,2,40,5.0
2026-09,Data Visualization,2,40,5.0
2026-09,Deep Learning,2,40,5.0
2026-09,Excel,2,40,5.0
2026-09,FastAPI,2,40,5.0
2026-09,MongoDB,2,40,5.0
2026-09,Power BI,2,40,5.0
2026-09,Azure,1,40,2.5
